Run,niche_category,soil
ERR131834,rhizosphere,Clayton
ERR131835,rhizosphere,Clayton
ERR131836,rhizosphere,Clayton
ERR131837,rhizosphere,Clayton
ERR131838,rhizosphere,Clayton
ERR131839,rhizosphere,Clayton
ERR131840,rhizosphere,Clayton
ERR131841,rhizosphere,Clayton
ERR131842,rhizosphere,Clayton
ERR131843,rhizosphere,Mason Farm
ERR131844,rhizosphere,Clayton
ERR131845,rhizosphere,Clayton
ERR131846,rhizosphere,Clayton
ERR131847,rhizosphere,Clayton
ERR131848,rhizosphere,Clayton
ERR131849,rhizosphere,Clayton
ERR131850,rhizosphere,Clayton
ERR131851,rhizosphere,Clayton
ERR131852,rhizosphere,Clayton
ERR131853,rhizosphere,Mason Farm
ERR131854,rhizosphere,Clayton
ERR131855,rhizosphere,Clayton
ERR131856,rhizosphere,Clayton
ERR131857,rhizosphere,Clayton
ERR131858,rhizosphere,Clayton
ERR131859,rhizosphere,Clayton
ERR131860,rhizosphere,Clayton
ERR131861,rhizosphere,Clayton
ERR131862,rhizosphere,Clayton
ERR131863,rhizosphere,Mason Farm
ERR131864,rhizosphere,Clayton
ERR131865,rhizosphere,Clayton
ERR131866,rhizosphere,Clayton
ERR131867,rhizosphere,Clayton
ERR131868,rhizosphere,Clayton
ERR131869,rhizosphere,Clayton
ERR131870,rhizosphere,Clayton
ERR131871,rhizosphere,Clayton
ERR131872,rhizosphere,Clayton
ERR131873,rhizosphere,Clayton
ERR131874,rhizosphere,Mason Farm
ERR131875,rhizosphere,Clayton
ERR131876,rhizosphere,Clayton
ERR131877,rhizosphere,Clayton
ERR131878,rhizosphere,Clayton
ERR131879,rhizosphere,Clayton
ERR131880,rhizosphere,Clayton
ERR131881,rhizosphere,Mason Farm
ERR131882,rhizosphere,Clayton
ERR131883,rhizosphere,Clayton
ERR131884,rhizosphere,Clayton
ERR131885,rhizosphere,Clayton
ERR131886,rhizosphere,Clayton
ERR131887,rhizosphere,Clayton
ERR131888,rhizosphere,Clayton
ERR131889,rhizosphere,Clayton
ERR131890,rhizosphere,Clayton
ERR131891,rhizosphere,Mason Farm
ERR131892,rhizosphere,Clayton
ERR131893,rhizosphere,Clayton
ERR131894,rhizosphere,Clayton
ERR131895,rhizosphere,Clayton
ERR131896,rhizosphere,Clayton
ERR131897,rhizosphere,Clayton
ERR131898,rhizosphere,Clayton
ERR131899,rhizosphere,Clayton
ERR131900,rhizosphere,Clayton
ERR131901,rhizosphere,Clayton
ERR131902,rhizosphere,Clayton
ERR131903,rhizosphere,Clayton
ERR131904,rhizosphere,Clayton
ERR131905,rhizosphere,Clayton
ERR131906,rhizosphere,Clayton
ERR131910,rhizosphere,Mason Farm
ERR131916,rhizosphere,Clayton
ERR131917,rhizosphere,Clayton
ERR131918,rhizosphere,Mason Farm
ERR131920,rhizosphere,Clayton
ERR131921,rhizosphere,Clayton
ERR131922,rhizosphere,Clayton
ERR131923,rhizosphere,Clayton
ERR131924,rhizosphere,Clayton
ERR131925,rhizosphere,Clayton
ERR131926,rhizosphere,Clayton
ERR131927,rhizosphere,Clayton
ERR131928,rhizosphere,Clayton
ERR131929,rhizosphere,Clayton
ERR131930,rhizosphere,Mason Farm
ERR131931,rhizosphere,Clayton
ERR131932,rhizosphere,Clayton
ERR131933,rhizosphere,Clayton
