Run,niche,niche_category,source_folder,my_host,my_host[number],host_category,author,exp_type_location,16S_region,doi,DNA_isolation_method,country_of_sampling,seq_platforrm,the most abundant kingdom,the most abundant phylum,the most abundant class,the most abundant order,the most abundant family,the most abundant genus,the most abundant species/strain,the most abundant ASV,Actino_enrichment
ERR8058494,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058313,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058450,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058516,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058503,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058640,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058482,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058538,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058250,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058401,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058243,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
